	content	emo_id	ID
0	At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes	0	10941
1	@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless	0	10942
2	This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards	0	10943
3	@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me ðŸ˜	0	10944
4	@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ  #soreloser	0	10945
5	@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ #bitter #soreloser	0	10946
6	wanna go home and focus up on this game . Don't wanna rage at all	0	10947
7	@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” #furious	0	10948
8	@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” 	0	10949
9	I wanna see you smile I don't wanna see you make a frown	0	10950
10	@shae_caitlin ur road rage gives me anxiety.	0	10951
11	@eMilsOnWheels I'm furious ðŸ˜©ðŸ˜©ðŸ˜©	0	10952
12	@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -	0	10953
13	They gonna give this KKk police bitch the minimum sentence..just wattch #angry	0	10954
14	They gonna give this KKk police bitch the minimum sentence..just wattch 	0	10955
15	I just got murdered in madden. ðŸ¤•	0	10956
16	My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©	0	10957
17	@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction	0	10958
18	new madden 16 video was gonna be up but xbox is being an ahole and not going through ðŸ™„ðŸ™„ #struggles	0	10959
19	The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.	0	10960
20	Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry	0	10961
21	Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad 	0	10962
22	I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh ðŸ˜…	0	10963
23	@crystaldiamondo impossible to say. We can only hope that I donâ€™t unwittingly trigger her ferocious side again. Hell hath no fury..	0	10964
24	@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.	0	10965
25	Autocorrect changes ''em' to 'me' which I resent greatly	0	10966
26	Candice on great british bake off with that pout does my head in ðŸ‘ŠðŸ»ðŸ™„	0	10967
27	Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru	0	10968
28	HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle	0	10969
29	HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle	0	10970
30	Fast and furious 6 this Monday 10 pm on mbc 2 ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜	0	10971
31	Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.	0	10972
32	So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter	0	10973
33	So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed 	0	10974
34	At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily	0	10975
35	When you want to say something so bad but can't ! #furious ðŸ˜¤	0	10976
36	â€œCompetition is suppose to motivate you to do better everytime not to be bitter all the timeâ€ -De philosopher DJ Kyos \n#quote #success #CSGO	0	10977
37	@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!	0	10978
38	@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...	0	10979
39	Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜  #angry #Rooney #mufc	0	10980
40	Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜   #Rooney #mufc	0	10981
41	@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey	0	10982
42	@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy?  #leictershireaway #therey	0	10983
43	@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos	0	10984
44	Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! 	0	10985
45	Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging	0	10986
46	Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference	0	10987
47	If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman	0	10988
48	Star trek online has a update to download oh fuming yay	0	10989
49	@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼	0	10990
50	@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.	0	10991
51	The war is right outside your door #rage #USAToday	0	10992
52	The war is right outside your door  #USAToday	0	10993
53	A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol	0	10994
54	@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC	0	10995
55	Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl	0	10996
56	Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl	0	10997
57	@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling	0	10998
58	@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? 	0	10999
59	@louiseannexx u fucked my house up I'll always hold a grudge	0	11000
60	@josefcd904 @Reddou_Kun @deven_luca @supersoniclemon He also likes incurring Lily's wrath.	0	11001
61	@ReadingFC @EFLCup - remind them 'Twenty's Plenty' #revenge!	0	11002
62	@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !	0	11003
63	@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame	0	11004
64	@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite 	0	11005
65	@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --	0	11006
66	After what just happened. In need to smoke. #burning	0	11007
67	After what just happened. In need to smoke. 	0	11008
68	I really wish my road rage wasn't so damn bad lmaooooo	0	11009
69	@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs	0	11010
70	@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?	0	11011
71	when you think you've got it together for a day then you randomly burst out crying	0	11012
72	You offend me, @Tansorma	0	11013
73	@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing	0	11014
74	@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY	0	11015
75	@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz  #HONEY	0	11016
76	@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything	0	11017
77	I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge	0	11018
78	@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.	0	11019
79	@Alex_Philip2648 it's a step up from boiling broccoli tbh	0	11020
80	@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus 	0	11021
81	@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter	0	11022
82	@EE whats with the 50p a minute charge to 150, insult to injury	0	11023
83	Last night, the Rev. Dr. Earl Johnson spoke to Wake Progressive #Democrats on transforming #moral #outrage into effective political #action.	0	11024
84	Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.	0	11025
85	I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! #fuming	0	11026
86	I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! 	0	11027
87	-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco	0	11028
88	Police: Atlanta rapper Shawty Lo killed in fiery car crash	0	11029
89	@JamieRJN She's all over the political map in her relentless pursuit of power.	0	11030
90	No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE	0	11031
91	I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.	0	11032
92	And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,	0	11033
93	Weak people revenge. Strong people forgive. Intelligent people ignore.	0	11034
94	I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered	0	11035
95	I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered	0	11036
96	I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered	0	11037
97	I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered	0	11038
98	Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn	0	11039
99	Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn	0	11040
100	Nothing is more relentless than a dog begging for food	0	11041
101	ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....	0	11042
102	@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.	0	11043
103	People that smoke cigarettes irritate my soul.	0	11044
104	Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ 	0	11045
105	Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ #raging	0	11046
106	Threat factors in respect to provocation bulb worm: BnQo	0	11047
107	#Scorpio always seek revenge!	0	11048
108	â€” Self-hatred gives rise to fury, fury to the desire for self-change.	0	11049
109	You sting like a bee but you're still my honey.	0	11050
110	if u have time 2 open a snap, u have time 2 respond	0	11051
111	This may offend some, but I say u never trust a cop ðŸš“ of any color, but especially not a white 1(the evidence is clear)! The klan has awoke	0	11052
112	@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming	0	11053
113	@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. 	0	11054
114	#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.	0	11055
115	#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .	0	11056
116	@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.	0	11057
117	The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment	0	11058
118	People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent	0	11059
119	Be quick to #listen, slow to #speak, and slow to #anger.	0	11060
120	Be quick to #listen, slow to #speak, and slow to .	0	11061
121	@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine	0	11062
