She: Why are you listening to The Eurythmics?\nMe: It's a Polish Gothic Metal band.\nShe: Why do I even ask... (exits room, shaking head)	2	22250
Somewhere I rd a rpt tht Pakis wr afraid of TSD &amp; asked it 2 shut dn. Congis obliged &amp; exposed it,hounded them.time to revive. #BadlaofUri	2	21998
On my life I'll never understand why anyone would pay money to see @LifeOfDesiigner #terrible	2	21920
They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.	2	21191
Might start stanning Lady Gaga again - more so than last time - but shhh don't tell Connor	2	21626
@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal	3	30280
@andrew_jrt I don't really understand the burst and semi auto version bc the damage doesn't change so those are essentially useless	0	11605
Be strong &amp; courageous. Do not be terrified or discouraged, for the LORD your God will be with you wherever you go.	5	40722
@patthemanager how could I work with @chancetherapper . ? #serious	5	40571
He's seriously so frustrating sometimes! (â•¯Â°â–¡Â°ï¼‰â•¯ï¸µ â”»â”â”» #ugh 	0	11491
@cedricyarbrough We love you! #hilarious   We are looking forward to SO much more!  #kudos on the #pilot @Speechless_ABC #speechless	3	31123
@followAdamA looking back on recent tweets seen, this one right here is great #perfect #hilarious #Speechless #deal	3	30099
@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. 	0	11242
@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted 	0	11167
Someone throw a snap dance party for LO. Rest Up big Homie ðŸ™ðŸ¾	0	11247
@Olajide_Shutti lmaoo. It will be a joyful day.	3	30154
@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. #hilarious	3	30200
Projection is perception. See it in someone else? You also at some level have that within you. #anger #worry	0	10567
Ellie just gave me loads of gifts with notes on em for uni n I burst out in tears, I LOVE HER😩	0	10845
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage	0	10111
Hey @AppleSupport - how do I find my play history on new #ios10 #appleMusic #music #lost	5	40535
My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n#GreatDay #optimism	3	31342
Every day I think my #house ðŸ¡ is #burning ðŸ”¥ but it's always just my neighbor burning their #toast! ðŸ˜·ðŸ˜¡ðŸž	0	11642
I have no clue where my charger is... #lost	5	40226
If I was a ghost I'd haunt people by giving them cramps in both of their legs when they do cardio ðŸ˜ˆðŸ˜ˆðŸ˜ˆ #Mwahaha	2	21399
@Jpennifan OH sorry for your divorce but don't worry I will be a good wife then (no reference)	2	21967
@PixelMonsterYT @TeamGE0 @IZEDEPTIC @ztumtum @CrimtideTV @LtGrandslam @Slinkercorn Bahahahaha Dean looks hilarious and damn I got fat	3	31435
Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday #happy #eatcake	3	30102
Headed to MDW w/ layover in SLC. Got off for food. Wrong move. Bailed on my food &amp; barely made it. @SouthwestAir #WannaGetAway #Contest #sad	5	40900
One way ticket to the blues.	5	40341
After becoming boiling hot, after slowly melting, my heart is frozen.	0	10549
@RaveenElexiis I fought a racist girl and she stayed in GAVC so if you get kicked out I call BS	5	40397
@DDNewsHindi  #UNGA no talks should be carried out with Pakistan now ... His mouth stinks of  #UriAttack	2	22199
Ugh.. Why am I not asleep yet. Fml. I think low key I'm afraid I might miss something. #SleeplessNight #sleepy #restless	2	21606
Just put the winter duvet on ☃️❄️🌬☔️ 	5	40782
What an actual nightmare	2	20146
@LynneGarrison yeah, I've only seen that floated online as a theory, it was probably made up by a bitter stan. I ignore pets v vets crap too	0	10294
As I lost my heart to you there in the dark.. Underneath the stars 🎧	5	40459
I'm just tryna watch horror movies and nap all day	2	21727
@GOT7Official @jrjyp happy birthday jin young!!!!!! #PrinceJinyoungDay #happyjinyoungday #got7  #birthday	3	30909
@homoaesthetics YESYESYES like jd is the closest cahracter that is similar to blaine!! the optimism and ability to crack tough characters	3	31460
Lost: Geelong football team. \nLast seen entering through the banner not sure where they've been since... #unhappy #playwithsomeheart	5	40230
@Bwana86 I can fear that someone is always following me everywhere I go. Does that make it true??	2	21315
Best quote from a 7 in German - Almost #happy	3	31177
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of ðŸ’© #needstobeadmitted #bully	2	21374
Watch this amazing live.ly broadcast by @rosannahill #lively #musically	3	30302
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?	2	21159
$8 million in box office doesnt do this movie justice. Political or not, #SnowdenMovie is a terrific thriller and love story. @Snowden	2	20995
I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious	3	30265
I really wanna go fright night at Thorpe Park next month ðŸ‘»	2	21056
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy	5	40164
Lets start there	2	21127
@jessbr0ughton don't be shy next time! We're a cheery bunch. :) \n\nSam. X	3	30412
I'm sorry but since when is an #indiegames #DLC worth nearly Â£130 that's just plain lunacy when the game itself is Â£20odd, #astounded ðŸ˜±	2	21771
@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.	0	10259
Reflection: the grind has been so REAL! Working 2 jobs &amp; being in school. #ksudsm #ksu #recruiter #instructor #tumble #cheer #gradschool	3	31369
Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored	0	10899
6 might be a serious number, but 10 sounds better. Wild card race!!	5	40911
Extreme sadness	5	40006
It's just the lack of company and liveliness out here that makes me bored.	3	30818
@Coyblake6 @ChloeCramphorn hahahaa you know coy!	2	21075
My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism 	2	21005
When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology  #TMS #ECT	5	40361
Impractical Jokers...practically genius!!!  @BQQuinn #laughter #good4thesoul #ImpracticalJokers #bingewatching	3	31432
@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it	0	10188
Paul forever. Paul should have won! Paul played such a better game! #BB18 	0	10531
This is a joke @SomersetCCC #fuming	0	11088
I'm just doing what u should b doing just minding my business and grinding relentless @LITO615	0	10749
I bet @mmunro91 is fuming with our draw ðŸ‘€	0	11664
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot	3	30881
I get soooo nervous when an actually attractive guy tries to talk to me in person. Like 9/10 I turn him down just from habit ðŸ˜­	2	20167
Sejejs says Cibulskis missed time in 3rd period due to an injury. Wouldn't comment on how serious it is. Apparently not a doctor.	5	41317
Watch this amazing live.ly broadcast by @flydudern #lively #musically	3	30338
@BroggersM19 @Calum250284 He had been retired 20 minutes ago by most blues on here ðŸ˜Š	5	41394
I lost my wallet, then found it, then lost it again AND THEN FOUND IT!!!!! \nCollege is brazy	5	41245
@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims.	0	10313
in love with @BarberCeleste  insta!!!... 	3	31399
Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz #sting	0	11246
We are about a little over an hour away! We will arrive soon, do not fret!	5	40845
@m_warner21 Yikes. The wrath of Maddie...	0	10365
That grudge you're holding keeps making an appearance because #God wants you to deal with it.	0	10392
I have a fear of failure but no urge to be productive	2	21930
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON	2	21207
Somebody who has braved the storm is brewing. #cheerful	3	30846
We have left #Maine. #sadness	5	40064
It's unbelievable that security guard acting like a gangster trying 2 threaten me and tell me what to do with my own home. #terrify #annoy ðŸ˜¡	2	21416
Not giving a fuck is better than revenge.	0	10192
Tweeting from the sporadic wifi on the tube 	2	21241
broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto	2	20623
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror	2	21218
I miss my dread head ðŸ˜©	2	21583
Tip 5: Don't worry about pleasing everyone. #TitanWisdom	3	30576
@annafifield @washingtonpost all hands on deck at the post and in the msm as trump starts to lead in oh, fla, NC, NV, CO. #panic	2	21414
@Rocks_n_Ropes Can't believe how rude your cashier was today when I was returning an item!  Your customer service is slacking. #terrible	2	20930
@YahooFantasy update may have been the worst mistake of my day 	2	22131
This is not me brown nosing but I've listened to lots of housing ministers but @GavinBarwellMP #nhf16 impressed me more than any #optimism	3	30930
finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet	0	11483
BTW, offended policy wonks, H only had one real proposal: eliminate subminimum wage. Probably good, but might discourage hiring of disabled.	5	40868
@_Adam_Price @WalesPolitics  Am afraid you're at back of BBC queue, editorially trumped by Ron Davies and bicycle paths	2	22036
People are trying too hard to hate on Cam Newton without understanding his position #sad	5	41264
